1908	1196
1872	1198
1852	1202
1830	1210
1818	1214
1806	1218
1778	1194
1748	1158
1728	1120
1712	1073
1703	1028
1702	992
1709	948
1721	902
1742	862
1763	827
1776	804
1787	762
1796	732
1805	703
1811	686
1818	678
1830	676
1846	676
1851	675
1861	669
1874	666
1886	669
1890	671
1900	668
1908	663
1912	663
1918	668
1921	671
1929	671
1942	669
1953	671
1960	674
1983	677
1999	679
2010	684
2023	699
2030	717
2037	754
2047	803
2064	830
2088	869
2105	912
2114	960
2119	1004
2116	1058
2099	1112
2077	1155
2050	1187
2026	1210
2013	1213
1978	1207
1951	1200
